City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,constantia,44.1833,28.65,277.53,83,100,6.82,RO,1731375846
83,wailua homesteads,22.0669,-159.378,298.59,88,100,8.23,US,1731376134
84,beau vallon,-20.4189,57.6953,296.28,78,40,2.57,MU,1731376135
85,mount pearl,47.5166,-52.7813,279.9,91,100,6.17,CA,1731376136
86,matoury,4.8483,-52.3317,298.13,94,100,3.6,GF,1731376137
87,callao,-12.0667,-77.15,292.99,82,20,6.17,PE,1731376139
88,hilo,19.7297,-155.09,298.76,98,100,2.24,US,1731376140
89,georgetown,5.4112,100.3354,303.12,82,20,1.03,MY,1731376141
90,masterton,-40.9597,175.6575,291.61,48,63,5.3,NZ,1731376142
91,isafjordur,66.0755,-23.124,281.87,89,100,10.21,IS,1731376143
92,east london,-33.0153,27.9116,290.48,83,43,5.05,ZA,1731376144
93,enewetak,11.3474,162.3373,301.79,78,1,6.32,MH,1731376145
94,hawaiian paradise park,19.5933,-154.9731,298.64,87,100,2.06,US,1731376146
95,ugoofaaru,5.6667,73.0,301.22,68,100,1.98,MV,1731376148
96,berdigestyakh,62.0989,126.6992,256.97,97,97,1.34,RU,1731376150
97,xiongzhou,25.1167,114.3,297.26,58,8,2.13,CN,1731376151
98,chonchi,-42.6128,-73.8092,283.77,96,99,1.67,CL,1731376152
99,gonzalez,30.5816,-87.2914,295.25,98,100,1.54,US,1731375898
100,antofagasta,-23.65,-70.4,290.75,82,31,1.71,CL,1731376103
101,rudnichnyy,59.617,52.4703,270.78,93,100,4.58,RU,1731376157
102,port alfred,-33.5906,26.891,290.47,96,2,1.34,ZA,1731375969
103,severo-yeniseyskiy,60.3725,93.0408,257.0,95,93,2.19,RU,1731376159
104,khanty-mansiysk,61.0042,69.0019,259.21,85,0,4.0,RU,1731376160
105,trelissac,45.1977,0.7862,282.68,72,100,4.37,FR,1731376161
106,macusani,-14.0833,-70.4333,277.72,75,100,1.91,PE,1731376162
107,jiuquan,39.7432,98.5174,280.54,41,11,1.91,CN,1731376163
108,vadso,70.0744,29.7487,275.24,87,100,6.17,NO,1731376165
109,margaret river,-33.95,115.0667,289.96,68,92,4.47,AU,1731376166
110,kavaratti,10.5669,72.642,302.08,67,87,4.06,IN,1731376167
111,whitehorse,60.7161,-135.0538,270.58,93,100,1.03,CA,1731376168
112,port elizabeth,-33.918,25.5701,290.55,97,0,4.63,ZA,1731375955
113,ribeira grande,38.5167,-28.7,294.14,95,100,7.15,PT,1731376170
114,viedma,-40.8135,-62.9967,287.49,28,100,3.52,AR,1731376107
115,tiksi,71.6872,128.8694,255.36,94,100,1.12,RU,1731376172
116,cabo san lucas,22.8909,-109.9124,294.78,66,51,5.26,MX,1731376148
117,hillsborough,37.5741,-122.3794,286.03,88,100,1.34,US,1731376175
118,clodomira,-27.5744,-64.1311,290.35,63,100,3.61,AR,1731376176
119,huai'an,33.5886,119.0192,291.81,58,0,2.11,CN,1731376177
120,lihue,21.9789,-159.3672,298.92,86,100,8.23,US,1731376178
121,mount isa,-20.7333,139.5,312.02,19,86,4.12,AU,1731376180
122,vila velha,-20.3297,-40.2925,295.12,88,20,1.54,BR,1731376043
123,amga,60.8953,131.9608,258.57,93,95,1.18,RU,1731376183
124,antsiranana,-12.2787,49.2917,298.07,79,6,5.65,MG,1731376185
125,bredasdorp,-34.5322,20.0403,286.66,91,36,1.6,ZA,1731376186
126,thompson,55.7435,-97.8558,268.24,93,100,2.57,CA,1731376187
127,geraldton,-28.7667,114.6,295.38,53,0,7.72,AU,1731376188
128,utrik,11.2278,169.8474,301.69,77,29,7.35,MH,1731376189
129,trevelin,-43.0858,-71.4639,278.54,97,100,2.13,AR,1731376190
130,longyearbyen,78.2186,15.6401,275.06,93,75,1.03,SJ,1731376192
131,greymouth,-42.4667,171.2,287.93,53,0,3.59,NZ,1731376193
132,mount gambier,-37.8333,140.7667,293.19,63,94,2.85,AU,1731376194
133,san julian,21.0167,-102.1667,293.98,27,100,2.42,MX,1731376195
134,nizhneudinsk,54.9076,99.0276,270.15,79,100,1.5,RU,1731376196
135,kem',64.9555,34.5793,272.36,92,100,3.56,RU,1731376197
